basin_id,effluent_all,tourism_eff,res_eff,lives,crops,cruise,month
na_81511,0,0,0,98,0,28.243872400458937,sep
na_81485,529.0387217760086,0.49055040836334,528.5481713676453,0,0,305.95426988884117,sep
na_81574,25249.687707208817,149.85833084106443,25099.829376367754,137550,630923,229.38925336584356,sep
na_80772,125.66893054962159,0,125.66893054962159,193,0,362.7349284678291,sep
na_80319,0,0,0,1944,0,1211.0198768784962,sep
na_81511,0,0,0,98,0,91.87462261083786,oct
na_81485,529.1564539039135,0.60828253626822,528.5481713676453,0,0,330.0591807429627,oct
na_81574,25281.636521134205,181.80714476644994,25099.829376367754,137550,630923,158.00527974259055,oct
na_80772,125.66893054962159,0,125.66893054962159,193,0,307.85477259520104,oct
na_80319,0,0,0,1944,0,942.6995093256471,oct
na_82086,9.28076156616213,7.31594696044923,1.9648146057129,562,0,137.43717755466878,nov
na_81511,0,0,0,98,0,106.48973245661352,nov
na_81485,529.2938079893589,0.74563662171363,528.5481713676453,0,0,427.9727009395694,nov
na_81574,25333.413355975572,233.5839796078205,25099.829376367754,137550,630923,192.19010650495105,nov
na_80772,125.66893054962159,0,125.66893054962159,193,0,602.1526933581086,nov
na_80319,0,0,0,1944,0,1406.440808504639,nov
na_81511,0,0,0,98,0,69.25171131615942,may
na_81485,529.2741859710218,0.72601460337639,528.5481713676453,0,0,408.092298788041,may
na_81574,25330.469008434837,230.6396320670843,25099.829376367754,137550,630923,337.045306755058,may
na_80772,125.66893054962159,0,125.66893054962159,193,0,314.6879006463224,may
na_80319,0,0,0,1944,0,1170.502046206036,may
na_82086,10.391326646804819,8.42651204109192,1.9648146057129,562,0,54.959839313095095,mar
na_81511,0,0,0,98,0,258.08448054583545,mar
na_81485,529.6862483024597,1.13807693481444,528.5481713676453,0,0,665.6956664533955,mar
na_81574,25456.192616115633,356.3632397478819,25099.829376367754,137550,630923,407.7216561414336,mar
na_80772,125.66893054962159,0,125.66893054962159,193,0,913.6919163192184,mar
na_80319,0,0,0,1944,0,2160.315287422752,mar
na_81511,0,0,0,98,0,52.99954909669687,jun
na_81485,529.4311621356011,0.88299076795578,528.5481713676453,0,0,300.12185453629223,jun
na_81574,25371.8870447169,272.0576683491468,25099.829376367754,137550,630923,246.8278031938436,jun
na_80772,125.66893054962159,0,125.66893054962159,193,0,328.9505921858363,jun
na_80319,0,0,0,1944,0,1000.2887850151714,jun
na_81511,0,0,0,98,0,106.8527694738285,jul
na_81485,529.4311621356011,0.88299076795578,528.5481713676453,0,0,444.19185779919985,jul
na_81574,25373.812446557113,273.9830701893568,25099.829376367754,137550,630923,246.40756249338165,jul
na_80772,125.66893054962159,0,125.66893054962159,193,0,331.0401343606775,jul
na_80319,0,0,0,1944,0,1083.5945475494268,jul
na_82086,11.19840451240539,9.23358990669249,1.9648146057129,562,0,50.42345212606189,jan
na_81511,0,0,0,98,0,266.44476049793354,jan
na_81485,529.6273822975159,1.0792109298706198,528.5481713676453,0,0,710.9527882040902,jan
na_81574,25435.04162702424,335.2122506564856,25099.829376367754,137550,630923,476.3097871229184,jan
na_80772,125.66893054962159,0,125.66893054962159,193,0,769.8429390374589,jan
na_80319,0,0,0,1944,0,1936.905183654457,jan
na_82086,7.307534837722799,5.3427202320099,1.9648146057129,562,0,38.18315519169202,feb
na_81511,0,0,0,98,0,286.8610481290851,feb
na_81485,529.7058702993393,1.15769893169403,528.5481713676453,0,0,481.50796631749904,feb
na_81574,25461.737903785535,361.908527417779,25099.829376367754,137550,630923,391.67290329863766,feb
na_80772,125.66893054962159,0,125.66893054962159,193,0,656.6135553661551,feb
na_80319,0,0,0,1944,0,1743.365529831278,feb
na_82086,10.82265769958496,8.85784309387206,1.9648146057129,562,0,34.84060498372614,dec
na_81511,0,0,0,98,0,193.10069947131552,dec
na_81485,529.4311621356011,0.88299076795578,528.5481713676453,0,0,449.4015499386207,dec
na_81574,25373.812446557113,273.9830701893568,25099.829376367754,137550,630923,196.86694846854195,dec
na_80772,125.66893054962159,0,125.66893054962159,193,0,695.5424940247293,dec
na_80319,0,0,0,1944,0,1752.9075505543233,dec
na_81511,0,0,0,98,0,113.50982458847827,aug
na_81485,529.5881382751465,1.03996690750122,528.5481713676453,0,0,439.19229965277293,aug
na_81574,25423.669498462503,323.8401220947504,25099.829376367754,137550,630923,222.75587730573307,aug
na_80772,125.66893054962159,0,125.66893054962159,193,0,399.34856029030675,aug
na_80319,0,0,0,1944,0,1176.3087208997174,aug
na_82086,8.62264843940736,6.65783383369446,1.9648146057129,562,0,35.3431648502047,apr
na_81511,0,0,0,98,0,203.5469117512989,apr
na_81485,529.4507841396332,0.90261277198791,528.5481713676453,0,0,473.04235874993685,apr
na_81574,25381.969942804404,282.1405664366484,25099.829376367754,137550,630923,282.159701512824,apr
na_80772,125.66893054962159,0,125.66893054962159,193,0,746.1169349687834,apr
na_80319,0,0,0,1944,0,1763.594608515188,apr
